"Licence Number","Date Licence Granted","Premises Name","Premises Address","Licence Holder","Designated Premises Supervisor","Supply of Alcohol","Late Night Refreshment","Live Music","Recorded Music","Opening Hours","Plays","Films","Indoor Sporting Events","Boxing or Wrestling Entertainment","Performance of Dance","Other Entertainment Similar to Live or Recorded Music or Dance Performance","Facilities for Making Music","Facilities for Dancing","Other Entertainment Facilities Similar to Making Music or Dancing"
"","","","","","","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu22:30Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu22:30Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu22:30Mon 08:00-00:00^Tue 08:00-00:00^Wed 08:00-00:00^Thu00:00Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu22:30","Mon 23:00-00:00^Tue 23:00-00:00^Wed 23:00-00:00^Thu00:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu22:30Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu23:15","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu23:00Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu23:15Mon 08:00-00:00^Tue 08:00-00:00^Wed 08:00-00:00^Thu00:00","Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu23:15Mon 08:00-00:30^Tue 08:00-00:30^Wed 08:00-00:30^Thu00:30","","Mon 08:00-21:00^Tue 08:00-21:00^Wed 08:00-21:00^Thu16:00","","","Mon 18:00-22:00^Tue 18:00-22:00^Wed 18:00-22:00^Thu17:00","","Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu23:15Mon 08:00-00:00^Tue 08:00-00:00^Wed 08:00-00:00^Thu00:00","Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu23:15Mon 08:00-00:00^Tue 08:00-00:00^Wed 08:00-00:00^Thu00:00","Mon 10:00-23:15^Tue 10:00-23:15^Wed 10:00-23:15^Thu23:15"
"5838","20/05/2005","The Victoria","The Victoria Ph, Axe Street, Barking, Essex, IG11 7NA","W H Brakspear and Sons Ltd","Lisa Searle","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-00:00","Mon 23:00-00:30^Tue 23:00-00:30^Wed 23:00-00:30^Thu23:00-00:30^Fri 23:00-01:30^Sat 23:00-01:30^Sun 23:00-00:30","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-00:00","Mon 10:00-00:30^Tue 10:00-00:30^Wed 10:00-00:30^Thu10:00-00:30^Fri 10:00-01:30^Sat 10:00-01:30^Sun 12:00-00:30","Mon 10:00-00:30^Tue 10:00-00:30^Wed 10:00-00:30^Thu10:00-00:30^Fri 10:00-01:30^Sat 10:00-01:30^Sun 12:00-22:30","","","Mon 10:00-00:30^Tue 10:00-00:30^Wed 10:00-00:30^Thu10:00-00:30^Fri 10:00-01:30^Sat 10:00-01:30^Sun 12:00-00:30","","","","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-00:00","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-00:00",""
"5924","21/05/2005","The Lord Denman","270-272 Heathw ay, Dagenham, Essex, RM10 8BR","AMBA PUBCO LTD","Deepak Singh","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 09:00-23:00","Mon 23:00-23:30^Tue 23:00-23:30^Wed 23:00-23:30^Thu23:00-23:30^Fri 23:00-23:30^Sat 23:00-23:30^Sun 23:00-23:30","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 09:00-23:00","Mon 09:00-23:00^Tue 09:00-23:00^Wed 09:00-23:00^Thu09:00-23:00^Fri 09:00-23:00^Sat 09:00-23:00^Sun 09:00-23:00","Mon 07:00-23:00^Tue 07:00-23:00^Wed 07:00-23:00^Thu07:00-23:00^Fri 07:00-23:00^Sat 07:00-23:00^Sun 07:00-23:00","","","","","","","","",""
"5972","28/06/2005","The Lighterman","The Lighterman Ph, 109 Bastable Avenue, Barking, Essex, IG11 0NX","Star Pubs Trading Limited","David Smith","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-22:30","","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-22:30","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-22:30","Mon 10:00-00:30^Tue 10:00-00:30^Wed 10:00-00:30^Thu10:00-00:30^Fri 10:00-01:30^Sat 10:00-01:30^Sun 12:00-23:00","","","","","","Mon 10:00-00:00^Tue 10:00-00:00^Wed 10:00-00:00^Thu10:00-00:00^Fri 10:00-01:00^Sat 10:00-01:00^Sun 12:00-22:30","","",""
"6074","21/06/2005","Ottoman Food & Wine","217-219 Reede Road, Dagenham, Essex, RM10 8EH","Gokhan Sonmez","Gokhan Sonmez","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 09:00-22:30","","","","","","","","",""
"6128","07/01/2005","Krishna's Village Store","32 Church Street, Dagenham, Essex, RM10 9UU","Mrs Raksha Patel","Mr. Rajesh Patel","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 07:30-20:00^Tue 07:30-20:00^Wed 07:30-20:00^Thu07:30-20:00^Fri 07:30-20:00^Sat 07:30-20:00^Sun 07:30-15:00","","","","","","","","",""
"6129","07/01/2005","Nisa Local","8-10 Woodw ard Road, Dagenham, Essex, RM9 4SH","Mr Vipin Gohil","Mr Vipin Gohil","Mon 08:00-23:00^Tue 08:00-23:00^Wed 08:00-23:00^Thu08:00-23:00^Fri 08:00-23:00^Sat 08:00-23:00^Sun 10:00-22:30","","","","Mon 07:00-22:30","","","","","","","","",""
"6133","07/03/2005","The Eastbrook PH","Eastbrook Hotel Ph, Dagenham Road, Dagenham, Essex, RM10 7UP","Eastbrook Holdings LTD","MD Salek Ahmed","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-23:30^Fri 10:00-00:30^Sat 10:00-00:30^Sun 11:00-23:30","Fri 23:00-00:00^Sat 23:00-00:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-23:00^Sat 10:00-23:00^Sun 10:00-23:00","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-23:30^Fri 10:00-00:30^Sat 10:00-00:30^Sun 10:00-23:30","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-23:30^Fri 10:00-00:30^Sat 10:00-00:30^Sun 10:00-23:30","","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-23:30^Fri 10:00-00:30^Sat 10:00-00:30^Sun 11:00-23:30","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-23:30^Fri 10:00-00:30^Sat 10:00-00:30^Sun 11:00-23:30","","","","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-23:00^Sat 10:00-23:00^Sun 10:00-23:00","Mon 10:00-23:30^Tue 10:00-23:30^Wed 10:00-23:30^Thu10:00-23:30^Fri 10:00-00:30^Sat 10:00-00:30^Sun 11:00-23:30",""
"6137","26/07/2005","Goals Soccer Centre","Goals Five A Side Football, Cook Road, Dagenham, Essex, RM9 6XW","Northw ind 5S Limited","Nathan Dew berry","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-22:30","Fri 23:00-00:00^Sat 23:00-00:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:30^Sat 10:00-00:30^Sun 10:00-23:30","","","","","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","Mon 10:00-23:00^Tue 10:00-23:00^Wed 10:00-23:00^Thu10:00-23:00^Fri 10:00-00:00^Sat 10:00-00:00^Sun 12:00-23:00","",""
"6154","07/05/2005","Dagenham East Wines","623 Rainham Road South, Dagenham, Essex, RM10 8AH","Manjit Mattu","Manjit Mattu","Mon 06:00-23:00^Tue 06:00-23:00^Wed 06:00-23:00^Thu06:00-23:00^Fri 06:00-23:00^Sat 06:00-23:00^Sun 06:00-23:00","","","","Mon 06:00-23:00^Tue 06:00-23:00^Wed 06:00-23:00^Thu06:00-23:00^Fri 06:00-23:00^Sat 06:00-23:00^Sun 06:00-23:00","","","","","","","","",""
